epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,145.892,0.90144,0.48996,0.96933,0.97567,1,0.995,0.7232,1.14214,0.51924,1.27425,0.000548,0.000548,0.000548
46,149.246,0.91435,0.47877,1.00463,0.98063,1,0.995,0.71151,1.19244,0.52325,1.29795,0.000515,0.000515,0.000515
47,151.563,0.95088,0.51971,1.0512,0.98657,1,0.995,0.71508,1.09537,0.48332,1.23163,0.000482,0.000482,0.000482
48,153.883,0.89651,0.48413,0.99012,0.9895,1,0.995,0.73731,1.01379,0.46475,1.17096,0.000449,0.000449,0.000449
49,156.145,0.95061,0.48144,1.02403,0.98827,1,0.995,0.72132,1.05239,0.47073,1.19938,0.000416,0.000416,0.000416
50,158.455,0.95256,0.49175,1.0222,0.98795,1,0.995,0.70806,1.05917,0.45563,1.19399,0.000383,0.000383,0.000383
51,167.203,0.85104,0.50125,1.03406,0.98984,1,0.995,0.7178,1.02679,0.44682,1.17703,0.00035,0.00035,0.00035
52,170.953,0.9134,0.48767,1.0243,0.99443,1,0.995,0.72419,0.99948,0.42858,1.15869,0.000317,0.000317,0.000317
53,174.212,0.84056,0.46526,1.01729,0.99509,1,0.995,0.71921,1.01947,0.44917,1.1608,0.000284,0.000284,0.000284
54,178.216,0.81488,0.44162,0.99735,0.99425,1,0.995,0.70873,1.09707,0.47318,1.19607,0.000251,0.000251,0.000251
55,180.581,0.81565,0.48141,1.03595,0.99322,1,0.995,0.71923,1.09356,0.46629,1.19502,0.000218,0.000218,0.000218
56,182.986,0.90306,0.48091,1.06751,0.99057,1,0.995,0.72532,1.01729,0.44705,1.14908,0.000185,0.000185,0.000185
57,185.339,0.85224,0.45468,0.99375,0.99042,1,0.995,0.74133,0.98802,0.42968,1.13128,0.000152,0.000152,0.000152
58,187.651,0.87023,0.46527,1.03472,0.98894,1,0.995,0.74133,0.97239,0.41152,1.12062,0.000119,0.000119,0.000119
59,190.982,0.81843,0.42374,0.97459,0.98833,1,0.995,0.75456,0.9711,0.41371,1.12425,8.6e-05,8.6e-05,8.6e-05
60,193.851,0.81405,0.47469,0.9849,0.98769,1,0.995,0.76007,0.97858,0.41995,1.13598,5.3e-05,5.3e-05,5.3e-05
